id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
213,2011-02-21 05:07:03,26.3N,43.7E,18.0,3.9e10,26.3N 43.7E
214,2011-02-12 11:00:12,7.8N,95.3W,,2.0e10,7.8N 95.3W
215,2011-01-21 15:11:43,18.9N,44.6W,,7.2e10,18.9N 44.6W
216,2011-01-08 19:38:44,33.3N,125.8W,,2.9e10,33.3N 125.8W
217,2010-12-25 23:24:00,38.0N,158.0E,18.1,2.00e13,38.0N 158.0E
218,2010-12-14 00:27:53,4.9S,175.5E,,3.9e10,4.9S 175.5E
219,2010-12-09 02:54:07,54.5S,169.7W,,6.3e10,54.5S 169.7W
220,2010-12-01 06:31:46,72.5S,144.9E,,13.3e10,72.5S 144.9E
221,2010-11-21 14:45:27,1.9N,143.3E,,8.1e10,1.9N 143.3E
222,2010-11-19 07:25:56,10.3S,148.8E,,3.3e10,10.3S 148.8E
223,2010-11-10 08:26:35,74.5N,77.7W,,6.8e10,74.5N 77.7W
224,2010-11-09 13:05:46,56.3S,16.7W,,8.6e10,56.3S 16.7W
225,2010-11-09 06:56:52,14.0S,160.0W,,2.0e10,14.0S 160.0W
226,2010-10-27 11:27:39,14.1S,67.7E,,14.5e10,14.1S 67.7E
227,2010-10-08 09:58:01,,,,2.0e10, 
228,2010-09-24 12:02:07,67.4S,50.6W,,5.0e10,67.4S 50.6W
229,2010-09-18 05:04:41,7.4N,36.7E,,6.7e10,7.4N 36.7E
230,2010-09-08 19:51:36,13.9S,65.5W,,6.5e10,13.9S 65.5W
231,2010-09-05 23:37:33,25.9S,49.0E,,68.3e10,25.9S 49.0E
232,2010-09-03 12:04:58,61.0S,146.7E,12.3,175.0e10,61.0S 146.7E
233,2010-08-17 04:19:37,20.7N,114.3W,,2.1e10,20.7N 114.3W
234,2010-07-15 01:49:56,60.9N,178.1W,,2.4e10,60.9N 178.1W
235,2010-07-06 23:54:43,34.1S,174.5W,15.7,756.0e10,34.1S 174.5W
236,2010-06-26 06:04:38,0.5S,133.2E,,11.3e10,0.5S 133.2E
237,2010-06-21 06:42:00,22.5S,120.9W,,16.3e10,22.5S 120.9W
238,2010-06-17 04:24:45,26.1S,100.0E,,11.9e10,26.1S 100.0E
239,2010-04-17 02:21:58,13.1N,173.0W,,5.6e10,13.1N 173.0W
240,2010-04-16 04:38:52,1.8N,176.9W,18.8,84.4e10,1.8N 176.9W
